Year,Season,Site,Depth,Temp,pH,EC,DO,TSS,TDS,TP,AM,TC,FC,TN,N,SD
2022,Wet Rainy,B 5-1,0.5m,30.34,8.68,11.70,7.64,3.00,68.55,124.00,11.00,1.45,1.00,268.00,2.00,1.80
2022,Wet Rainy,B 5-1,10m,27.18,7.57,10.60,5.62,3.00,65.95,121.00,10.90,2.60,,226.00,11.00,
2022,Wet Rainy,B 5-1,20m,26.46,7.27,10.40,3.07,5.00,66.01,117.00,10.10,1.43,,255.00,81.00,
2022,Wet Rainy,B 5-1,30m,25.06,7.17,10.30,1.56,28.00,66.60,116.00,10.90,1.50,,272.00,63.00,
2022,Wet Rainy,B 5-1,50m,25.60,7.30,10.10,1.84,4.00,66.10,92.00,10.30,1.20,,280.00,85.00,
2022,Wet Rainy,B 5-1,0.5m,28.91,8.63,11.50,7.94,4.00,69.82,123.00,10.10,1.90,0.00,350.00,13.00,2.50
2022,Wet Rainy,B 5-1,10m,27.84,8.28,11.30,7.22,3.00,69.40,189.00,10.70,3.60,,322.00,2.00,
2022,Wet Rainy,B 5-1,20m,26.80,7.19,10.80,2.90,3.00,67.80,162.00,10.20,3.40,,351.00,68.00,
2022,Wet Rainy,B 5-1,30m,26.24,7.19,10.80,2.93,5.00,68.30,195.00,12.00,1.70,,291.00,46.00,
2022,Wet Rainy,B 5-1,50m,24.77,7.01,10.40,1.79,5.00,67.90,289.00,10.00,1.40,,319.00,44.00,
2022,Wet Rainy,B 5-1,0.5m,29.02,8.66,11.50,7.88,3.00,69.70,28.00,30.00,1.40,0.00,377.00,2.00,2.65
2022,Wet Rainy,B 5-1,10m,28.15,8.64,11.30,7.87,3.00,69.30,45.00,34.00,2.35,,138.00,2.00,
2022,Wet Rainy,B 5-1,20m,27.41,7.73,11.00,5.88,3.00,68.40,33.00,42.00,2.50,,389.00,17.00,
2022,Wet Rainy,B 5-1,30m,27.42,7.71,11.00,5.87,3.00,68.60,22.00,21.00,2.30,,218.00,21.00,
2022,Wet Rainy,B 5-1,50m,24.89,7.04,10.50,1.70,3.00,68.30,26.00,31.00,0.83,,199.00,12.00,
2022,Cool dry,B 5-1,0.5m,25.66,7.90,10.80,7.01,3.00,69.44,,18.00,1.70,1.00,170.00,4.00,2.20
2022,Cool dry,B 5-1,10m,25.40,7.88,10.80,6.98,3.00,69.61,48.00,29.00,2.40,,186.00,2.00,
2022,Cool dry,B 5-1,20m,25.41,7.78,10.80,6.72,3.00,69.64,12.00,15.00,2.43,,166.00,2.00,
2022,Cool dry,B 5-1,30m,25.48,7.68,10.80,6.46,4.00,69.36,11.00,27.00,2.30,,166.00,2.00,
2022,Cool dry,B 5-1,50m,23.98,7.14,10.40,2.43,2.00,69.20,16.00,52.00,1.02,,236.00,7.00,
2022,Cool dry,B 5-1,0.5m,24.32,7.61,10.80,7.09,2.00,70.92,17.00,25.00,5.00,0.00,225.00,2.00,2.70
2022,Cool dry,B 5-1,10m,23.95,7.60,10.40,6.35,2.00,69.23,36.00,27.00,3.51,,235.00,2.00,
2022,Cool dry,B 5-1,20m,24.11,7.61,10.40,6.25,2.00,69.14,38.00,29.00,2.81,,244.00,2.00,
2022,Cool dry,B 5-1,30m,23.94,7.54,10.40,6.12,2.00,68.90,33.00,27.00,3.23,,257.00,2.00,
2022,Cool dry,B 5-1,50m,23.08,7.15,10.20,2.49,2.00,68.01,40.00,36.00,1.40,,255.00,2.00,
2022,Cool dry,B 5-1,0.5m,23.14,7.69,10.60,6.88,2.00,71.11,54.00,33.00,5.10,0.00,113.00,46.00,2.70
2022,Cool dry,B 5-1,10m,23.10,7.65,10.40,6.75,2.00,70.31,65.00,21.00,5.50,,191.00,36.00,
2022,Cool dry,B 5-1,20m,22.91,7.63,10.40,6.63,2.00,70.40,73.00,21.00,4.50,,224.00,38.00,
2022,Cool dry,B 5-1,30m,22.58,7.53,10.30,6.12,1.00,70.41,81.00,21.00,4.90,,228.00,48.00,
2022,Cool dry,B 5-1,50m,22.53,7.48,10.60,5.65,0.00,72.50,67.00,21.00,1.50,,267.00,80.00,
2022,Hot dry,B 5-1,0.5m,25.10,8.52,10.00,8.48,2.00,64.92,31.00,29.00,1.51,0.00,248.00,2.00,3.10
2022,Hot dry,B 5-1,10m,23.67,8.52,9.60,8.64,2.00,64.14,35.00,27.00,,,255.00,2.00,
2022,Hot dry,B 5-1,20m,23.16,7.92,9.50,7.64,1.00,63.83,30.00,24.00,,,209.00,14.00,
2022,Hot dry,B 5-1,30m,22.71,7.56,9.30,6.51,0.00,63.15,38.00,23.00,,,242.00,68.00,
2022,Hot dry,B 5-1,50m,22.93,7.73,9.30,6.42,0.00,62.90,36.00,26.00,,,223.00,70.00,
2022,Hot dry,B 5-1,0.5m,26.92,7.80,10.20,6.94,2.00,63.92,24.00,21.50,2.24,,926.00,78.00,3.30
2022,Hot dry,B 5-1,10m,23.61,7.70,9.30,6.89,2.00,62.40,25.00,23.00,,,615.00,15.00,
2022,Hot dry,B 5-1,20m,23.31,7.56,9.20,6.30,1.00,61.70,37.00,22.00,,,696.00,73.00,
2022,Hot dry,B 5-1,30m,23.56,7.62,9.30,6.48,2.00,62.00,24.00,23.00,,,801.00,66.00,
2022,Hot dry,B 5-1,50m,23.46,7.50,9.20,5.64,3.00,61.32,29.00,22.00,,,598.00,121.00,
2022,Hot dry,B 5-1,0.5m,30.08,8.87,11.00,8.09,4.00,65.50,85.00,22.00,2.30,0.00,404.00,21.00,2.00
2022,Hot dry,B 5-1,10m,26.04,8.28,9.90,7.49,4.00,63.22,62.00,29.00,,,307.00,2.00,
2022,Hot dry,B 5-1,20m,24.64,7.42,9.30,5.34,2.00,61.20,82.00,24.00,,,205.00,48.00,
2022,Hot dry,B 5-1,30m,23.86,7.26,9.40,4.14,4.00,62.80,74.00,35.00,,,438.00,105.00,
2022,Hot dry,B 5-1,50m,24.41,7.46,9.60,4.42,4.00,63.13,46.00,30.00,,,231.00,92.00,
2022,Wet Rainy,B 5-1,0.5m,28.50,8.56,10.60,7.54,1.00,64.44,94.00,56.00,2.64,0.00,465.00,10.00,1.80
2022,Wet Rainy,B 5-1,10m,26.65,8.03,10.00,6.93,2.00,63.24,62.00,33.00,4.13,,262.00,6.00,
2022,Wet Rainy,B 5-1,20m,24.50,7.28,9.40,3.93,1.00,61.40,70.00,38.00,1.85,,260.00,87.00,
2022,Wet Rainy,B 5-1,30m,24.82,7.48,9.50,4.42,1.00,62.20,76.00,40.00,1.60,,276.00,81.00,
2022,Wet Rainy,B 5-1,50m,24.01,7.34,9.30,3.88,1.00,61.80,88.00,21.00,1.40,,303.00,109.00,
2022,Wet Rainy,B 5-1,0.5m,28.54,8.62,10.70,7.53,3.00,65.24,15.00,40.00,4.30,0.00,862.00,9.00,2.50
2022,Wet Rainy,B 5-1,10m,26.64,7.28,10.10,3.23,2.00,63.60,96.00,14.00,,,549.00,57.00,
2022,Wet Rainy,B 5-1,20m,24.16,7.08,9.30,1.78,2.00,61.60,15.00,17.00,,,448.00,110.00,
2022,Wet Rainy,B 5-1,30m,23.66,7.04,9.30,2.20,2.00,62.23,45.00,6.90,,,471.00,135.00,
2022,Wet Rainy,B 5-1,50m,24.23,7.18,9.50,2.14,2.00,62.62,24.00,6.80,,,541.00,152.00,
2023,Wet Rainy,B 5-1,0.5m,28.81,8.54,10.80,7.62,3.00,65.71,1.00,6.00,2.20,0.00,260.00,7.00,1.80
2023,Wet Rainy,B 5-1,10m,27.62,8.43,10.50,7.43,2.00,64.80,1.00,6.00,,,285.00,2.00,
2023,Wet Rainy,B 5-1,20m,26.97,7.55,10.30,5.20,2.00,64.30,1.00,6.00,,,256.00,21.00,
2023,Wet Rainy,B 5-1,30m,26.64,7.72,10.20,5.87,2.00,64.34,",11",6.00,,,252.00,24.00,
2023,Wet Rainy,B 5-1, 50m,24.38,7.64,9.60,5.89,2.00,63.30,1.00,6.00,,,246.00,127.00,
2023,Wet Rainy,B 5-1,0.5m,28.27,8.55,10.50,7.87,2.00,65.30,49.00,63.00,3.60,0.00,187.00,3.00,2.70
2023,Wet Rainy,B 5-1,10m,27.70,8.40,10.00,7.59,3.00,64.20,63.00,52.00,,,473.00,5.00,
2023,Wet Rainy,B 5-1,20m,26.31,7.30,10.00,4.59,2.00,63.40,58.00,67.00,,,387.00,61.00,
2023,Wet Rainy,B 5-1,30m,25.12,7.06,9.70,1.67,7.00,62.91,53.00,45.00,,,530.00,18.00,
2023,Wet Rainy,B 5-1, 50m,26.68,7.46,10.20,5.00,3.00,64.00,58.00,68.00,,,501.00,70.00,
2023,Wet Rainy,B 5-1,0.5m,28.92,8.67,10.80,7.86,0.00,65.44,61.00,7.00,2.00,0.00,488.00,11.00,1.50
2023,Wet Rainy,B 5-1,10m,28.39,8.38,10.70,7.85,0.00,65.12,70.00,6.00,,,288.00,9.00,
2023,Wet Rainy,B 5-1,20m,26.56,7.18,10.00,3.00,0.00,63.31,14.00,6.00,,,187.00,62.00,
2023,Wet Rainy,B 5-1,30m,25.22,7.14,9.80,2.10,7.00,63.34,60.00,13.00,,,227.00,10.00,
2023,Wet Rainy,B 5-1, 50m,24.19,7.23,9.70,2.45,0.00,63.82,38.00,50.00,,,440.00,42.00,
